year,resource_type,region,province_name,competition_scope,used,available,unit,utilization
2060,biomass,B07075,内蒙古自治区,shared_biomass_node,0.0,12768.06915674745,GJ/yr,0.0
2060,biomass,B07076,内蒙古自治区,shared_biomass_node,622980.3706309975,622980.3706309975,GJ/yr,1.0
2060,biomass,B07077,内蒙古自治区,shared_biomass_node,3098901.205602936,3098901.205602936,GJ/yr,1.0
2060,biomass,B07078,内蒙古自治区,shared_biomass_node,1232175.4283552538,1232175.4283552538,GJ/yr,1.0
2060,biomass,B07079,内蒙古自治区,shared_biomass_node,494839.3600392021,494839.3600392021,GJ/yr,1.0
2060,biomass,B07080,内蒙古自治区,shared_biomass_node,2424047.2246789285,2424047.224678928,GJ/yr,1.0000000000000002
2060,biomass,B07081,内蒙古自治区,shared_biomass_node,2340821.047414562,2340821.047414562,GJ/yr,1.0
2060,biomass,B07082,内蒙古自治区,shared_biomass_node,2414287.1626321683,2414287.1626321683,GJ/yr,1.0
2060,biomass,B07083,内蒙古自治区,shared_biomass_node,772383.4422024469,772383.4422024469,GJ/yr,1.0
2060,biomass,B07084,内蒙古自治区,shared_biomass_node,774926.2093726095,774926.2093726095,GJ/yr,1.0
2060,biomass,B07085,内蒙古自治区,shared_biomass_node,1308142.8424734976,1308142.8424734976,GJ/yr,1.0
2060,biomass,B07086,内蒙古自治区,shared_biomass_node,2127801.4604117665,2127801.4604117665,GJ/yr,1.0
2060,biomass,B07087,内蒙古自治区,shared_biomass_node,876951.3543310327,876951.3543310327,GJ/yr,1.0
2060,biomass,B07088,内蒙古自治区,shared_biomass_node,1724540.6485370428,1724540.6485370428,GJ/yr,1.0
2060,biomass,B07089,内蒙古自治区,shared_biomass_node,1354997.1533592525,1354997.1533592525,GJ/yr,1.0
2060,biomass,B07090,内蒙古自治区,shared_biomass_node,829000.5552165298,829000.5552165298,GJ/yr,1.0
2060,biomass,B07091,内蒙古自治区,shared_biomass_node,1165837.3248837972,1165837.3248837972,GJ/yr,1.0
2060,biomass,B07092,内蒙古自治区,shared_biomass_node,894641.8979749051,894641.8979749051,GJ/yr,1.0
2060,biomass,B07093,内蒙古自治区,shared_biomass_node,619773.9369964981,619773.9369964981,GJ/yr,1.0
2060,biomass,B07094,内蒙古自治区,shared_biomass_node,0.0,543861.627008317,GJ/yr,0.0
2060,biomass,B07095,内蒙古自治区,shared_biomass_node,0.0,484265.3472087074,GJ/yr,0.0
2060,biomass,B07096,内蒙古自治区,shared_biomass_node,0.0,466032.68754638097,GJ/yr,0.0
2060,biomass,B07097,内蒙古自治区,shared_biomass_node,297033.441342347,297033.441342347,GJ/yr,1.0
2060,biomass,B07098,内蒙古自治区,shared_biomass_node,194549.52503034845,194549.52503034845,GJ/yr,1.0
2060,biomass,B07099,内蒙古自治区,shared_biomass_node,226449.3477120208,226449.3477120208,GJ/yr,1.0
2060,biomass,B07100,内蒙古自治区,shared_biomass_node,191887.2043633008,191887.2043633008,GJ/yr,1.0
2060,biomass,B07101,内蒙古自治区,shared_biomass_node,177922.5977408615,177922.5977408615,GJ/yr,1.0
2060,biomass,B07102,内蒙古自治区,shared_biomass_node,295166.923255483,295166.923255483,GJ/yr,1.0
2060,biomass,B07103,内蒙古自治区,shared_biomass_node,233810.76405195528,233810.76405195528,GJ/yr,1.0
2060,biomass,B07104,内蒙古自治区,shared_biomass_node,766178.5800512172,766178.5800512172,GJ/yr,1.0
2060,biomass,B07105,内蒙古自治区,shared_biomass_node,402278.1674460776,402278.1674460776,GJ/yr,1.0
2060,biomass,B07106,内蒙古自治区,shared_biomass_node,192802.0320559188,192802.0320559188,GJ/yr,1.0
2060,biomass,B07107,内蒙古自治区,shared_biomass_node,133071.7244838964,133071.7244838964,GJ/yr,1.0
2060,biomass,B07108,内蒙古自治区,shared_biomass_node,140755.45250927878,140755.45250927878,GJ/yr,1.0
2060,biomass,B07109,内蒙古自治区,shared_biomass_node,164484.26997848673,164484.26997848673,GJ/yr,1.0
2060,biomass,B07110,内蒙古自治区,shared_biomass_node,124935.02045605014,124935.02045605014,GJ/yr,1.0
2060,biomass,B07111,内蒙古自治区,shared_biomass_node,0.0,131611.77598144766,GJ/yr,0.0
2060,biomass,B07112,内蒙古自治区,shared_biomass_node,0.0,128996.81854215414,GJ/yr,0.0
2060,biomass,B07113,内蒙古自治区,shared_biomass_node,0.0,138554.49804753883,GJ/yr,0.0
2060,biomass,B07114,内蒙古自治区,shared_biomass_node,0.0,140986.9060051125,GJ/yr,0.0
2060,biomass,B07115,内蒙古自治区,shared_biomass_node,0.0,113990.51400013964,GJ/yr,0.0
2060,biomass,B07116,内蒙古自治区,shared_biomass_node,0.0,94041.27785042184,GJ/yr,0.0
2060,biomass,B07117,内蒙古自治区,shared_biomass_node,0.0,17860.760512222445,GJ/yr,0.0
2060,biomass,B07118,内蒙古自治区,shared_biomass_node,0.0,90908.93037797276,GJ/yr,0.0
2060,biomass,B07119,内蒙古自治区,shared_biomass_node,0.0,120455.69854085892,GJ/yr,0.0
2060,biomass,B07120,内蒙古自治区,shared_biomass_node,0.0,22816.73450029312,GJ/yr,0.0
2060,biomass,B07121,内蒙古自治区,shared_biomass_node,314783.4588024403,314783.4588024403,GJ/yr,1.0
2060,biomass,B07122,内蒙古自治区,shared_biomass_node,2941694.411240174,2941694.411240174,GJ/yr,1.0
2060,biomass,B07123,内蒙古自治区,shared_biomass_node,1084966.733572335,1084966.733572335,GJ/yr,1.0
2060,biomass,B07124,内蒙古自治区,shared_biomass_node,398416.939287404,398416.939287404,GJ/yr,1.0
2060,biomass,B07125,内蒙古自治区,shared_biomass_node,2175479.625553388,2175479.625553388,GJ/yr,1.0
2060,biomass,B07126,内蒙古自治区,shared_biomass_node,2593160.635921603,2593160.635921603,GJ/yr,1.0
2060,biomass,B07127,内蒙古自治区,shared_biomass_node,2621957.3446663213,2621957.3446663213,GJ/yr,1.0
2060,biomass,B07128,内蒙古自治区,shared_biomass_node,1262967.9926981458,1262967.9926981458,GJ/yr,1.0
2060,biomass,B07129,内蒙古自治区,shared_biomass_node,594218.0459176035,594218.0459176035,GJ/yr,1.0
2060,biomass,B07130,内蒙古自治区,shared_biomass_node,905860.691014912,905860.691014912,GJ/yr,1.0
2060,biomass,B07131,内蒙古自治区,shared_biomass_node,1583660.827223787,1583660.827223787,GJ/yr,1.0
2060,biomass,B07132,内蒙古自治区,shared_biomass_node,425873.9696093178,425873.9696093178,GJ/yr,1.0
2060,biomass,B07133,内蒙古自治区,shared_biomass_node,2543056.325370881,2543056.325370881,GJ/yr,1.0
2060,biomass,B07134,内蒙古自治区,shared_biomass_node,2646700.416873274,2646700.416873274,GJ/yr,1.0
2060,biomass,B07135,内蒙古自治区,shared_biomass_node,2508772.798501294,2508772.798501294,GJ/yr,1.0
2060,biomass,B07136,内蒙古自治区,shared_biomass_node,1544522.5148721728,1544522.5148721728,GJ/yr,1.0
2060,biomass,B07137,内蒙古自治区,shared_biomass_node,868155.8655512392,868155.8655512392,GJ/yr,1.0
2060,biomass,B07138,内蒙古自治区,shared_biomass_node,550357.7186952304,550357.7186952304,GJ/yr,1.0
2060,biomass,B07139,内蒙古自治区,shared_biomass_node,0.0,460596.12409302406,GJ/yr,0.0
2060,biomass,B07140,内蒙古自治区,shared_biomass_node,0.0,679823.356546339,GJ/yr,0.0
2060,biomass,B07141,内蒙古自治区,shared_biomass_node,0.0,487008.87754863687,GJ/yr,0.0
2060,biomass,B07142,内蒙古自治区,shared_biomass_node,253354.71673130084,253354.7167313008,GJ/yr,1.0000000000000002
2060,biomass,B07143,内蒙古自治区,shared_biomass_node,182949.8984792054,182949.8984792054,GJ/yr,1.0
2060,biomass,B07144,内蒙古自治区,shared_biomass_node,189400.70988993568,189400.70988993568,GJ/yr,1.0
2060,biomass,B07145,内蒙古自治区,shared_biomass_node,168749.40265725763,168749.40265725763,GJ/yr,1.0
2060,biomass,B07146,内蒙古自治区,shared_biomass_node,171386.8074973526,171386.8074973526,GJ/yr,1.0
