year,plant_id,province_name,capacity_mw,centroid_longitude,centroid_latitude,retirement_year,dominant_cooling,annual_generation_mwh,baseline_emissions_mt,share_unabated,share_retire,share_ccs,share_biomass,share_beccs,share_ammonia,dominant_pathway,captured_mt,biomass_use_gj,ammonia_use_kg,water_use_m3,air_cooled_share,already_air_share,biomass_blend_level,ammonia_blend_level,min_distance_to_storage_km
2030,P0031,Shanxi,4900.0,111.5960795,36.44789901666667,2051,Air,22684550.0,18.601331,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,6807681.699628952,0.7171167905220837,0.7551,0.0,0.0,129.91
2030,P0032,Henan,2370.0,114.94455282857145,35.69333081428572,2055,recirculating,8531052.0,6.9954626399999995,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,12899803.729199998,0.0,0.0,0.0,0.0,35.017
2030,P0033,Henan,6270.0,112.2235970526316,34.61218205263158,2050,recirculating,22569492.0,18.50698344,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,36546778.3956,0.0,0.0,0.0,0.0,248.963
2030,P0034,Shandong,4220.0,116.80496215,36.2049641,2049,recirculating,18403842.0,15.09115044,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,31454006.3622,0.0,0.0,0.0,0.0,124.13
2030,P0035,Anhui,9120.0,117.78143773571428,30.986382207142857,2052,once-through,46348752.00000001,38.00597664,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,36101042.9328,0.0,0.0,0.0,0.0,226.361
2030,P0036,Jiangsu,27922.0,121.25921157285715,31.52313884714286,2043,once-through,140042791.0,114.83508862,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,44071466.3277,0.0,0.0,0.0,0.0,220.805
2030,P0037,Inner Mongolia,8340.0,111.63531936666668,40.73734619444445,2055,recirculating,41962710.0,34.409422199999995,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,53859138.285000004,0.0,0.1319,0.0,0.0,246.939
2030,P0038,Sichuan,4920.0,106.77105626666668,30.466155083333334,2046,recirculating,24582287.999999996,20.157476159999998,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,42065211.22559997,0.0,0.0,0.0,0.0,100.09
2030,P0039,Heilongjiang,2150.0,123.69026015555556,47.216015733333336,2033,once-through,7478775.0,6.1325955,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,10210771.5075,0.0,0.0,0.0,0.0,115.78
2030,P0040,Shanxi,6350.0,112.39579644705884,37.87612592941177,2050,Air,29397324.999999996,24.105806499999996,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,5412047.532499999,1.0,0.8976,0.0,0.0,122.332
2030,P0041,Hebei,3890.0,115.42118525333336,38.861997093333336,2057,recirculating,17330339.0,14.21087798,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,25737286.4489,0.0,0.0,0.0,0.0,75.093
2030,P0042,Shandong,6320.0,117.7747333,36.10888457777778,2050,recirculating,27562152.000000004,22.60096464,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,39380802.777600005,0.0,0.0,0.0,0.0,165.741
2030,P0043,Anhui,14100.0,116.754942764,33.761710992,2053,recirculating,71657610.0,58.759240199999994,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,106698181.29,0.0,0.0,0.0,0.0,186.574
2030,P0044,Heilongjiang,2955.0,124.97499467692306,46.49802851538463,2040,recirculating,10278967.500000002,8.428753350000001,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,15036073.659000004,0.0,0.0,0.0,0.0,5.929
2030,P0045,Henan,13910.0,112.67363529032258,35.190280632258066,2047,recirculating,50070436.0,41.057757519999996,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,57370705.5688,0.0,0.2372,0.0,0.0,220.718
2030,P0046,Zhejiang,18468.8,121.86577418444443,30.01492672666668,2052,recirculating,102230348.64,83.8288858848,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,19341981.962688,0.0,0.0,0.0,0.0,360.476
2030,P0047,Liaoning,3280.0,120.95330144285712,41.001320185714285,2052,recirculating,10170295.999999998,8.339642719999999,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,7852485.541599997,0.0,0.0,0.0,0.0,186.386
2030,P0048,Shanxi,1400.0,111.1116265,38.213208,2062,Air,6481300.0,5.314666,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,1037007.9999999999,0.0,1.0,0.0,0.0,227.535
2030,P0049,Xinjiang,1360.0,88.9060775,42.808315,2058,recirculating,7182431.999999999,5.889594239999999,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,10678729.73343174,0.19530703391620222,0.0,0.0,0.0,56.344
2030,P0050,Henan,1960.0,115.4996139,34.5444303,2053,recirculating,7055216.0,5.78527712,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,11358897.76,0.0,0.0,0.0,0.0,145.319
2030,P0051,Hebei,8180.0,114.29729676999996,38.11601805999999,2045,Air,36442718.0,29.88302876,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,28115556.937,0.0,0.3839,0.0,0.0,146.733
2030,P0052,Jiangsu,27370.0,120.36732789473685,31.886977849122808,2050,once-through,137274235.0,112.5648727,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,86551405.16749997,0.0,0.0,0.0,0.0,121.546
2030,P0053,Heilongjiang,2800.0,130.88350004444445,45.52289057777777,2047,recirculating,9739800.000000002,7.986636000000001,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,19576998.0,0.0,0.0,0.0,0.0,217.851
2030,P0054,Hebei,4420.0,114.86662302857142,40.658597571428565,2041,recirculating,19691542.0,16.14706444,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,39579999.419999994,0.0,0.0,0.0,0.0,232.63
2030,P0055,Shanxi,3700.0,110.291820675,34.722310675,2050,Air,17129150.0,14.045903,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,3074682.425,0.0,1.0,0.0,0.0,258.51
2030,P0056,Jiangxi,4020.0,114.6474855,25.235139166666663,2062,recirculating,19160928.0,15.711960959999999,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,22240089.129599996,0.0,0.0,0.0,0.0,542.328
2030,P0057,Gansu,2920.0,103.63660057777776,36.10173662222222,2050,Air,12233632.0,10.03157824,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,6581694.016,0.0,0.7603,0.0,0.0,339.352
2030,P0058,Jiangsu,4515.0,119.50311133333334,34.54334577777778,2058,recirculating,22644982.500000004,18.568885650000002,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,12047130.690000003,0.0,0.0,0.0,0.0,215.053
2030,P0059,Inner Mongolia,20820.0,111.26340109523812,39.86658994761905,2052,recirculating,104755830.0,85.8997806,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,44683837.54981821,0.7441337726533636,0.317,0.0,0.0,362.373
2030,P0060,Shandong,4962.0,119.34751615999998,35.25980932000001,2052,recirculating,21639778.200000003,17.744618124000002,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,14403436.36992,0.0,0.0,0.0,0.0,300.501
2030,P0061,Shandong,3920.0,118.8704271357143,36.916450514285714,2051,recirculating,17095512.000000004,14.018319840000002,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,26648484.105600007,0.0,0.0,0.0,0.0,207.566
2030,P0062,Xinjiang,970.0,86.38826449999999,41.9057335,2056,recirculating,5122764.0,4.20066648,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,876504.9204000004,1.0,0.0,0.0,0.0,317.654
2030,P0063,Ningxia,1760.0,105.99086423333333,38.5674425,2054,Air,8748784.0,7.17400288,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,1610651.1344,0.0,1.0,0.0,0.0,206.988
2030,P0064,Shandong,4180.0,116.30790365,37.390696166666665,2044,recirculating,18229398.000000004,14.94810636,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,32324368.53360001,0.0,0.0,0.0,0.0,59.739
2030,P0065,Xinjiang,3375.0,84.88765941000001,44.51353533,2055,recirculating,17824049.999999996,14.615720999999997,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,33671412.85499999,0.0,0.0,0.0,0.0,124.315
2030,P0066,Fujian,8826.0,119.05258655555556,25.21517051111111,2055,once-through,45243841.199999996,37.099949783999996,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,2678435.39904,0.0,0.0,0.0,0.0,735.315
2030,P0067,Hebei,7680.0,119.67226051428575,39.97792042857143,2051,recirculating,34215168.0,28.056437759999998,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,23358695.1936,0.0,0.0781,0.0,0.0,150.266
2030,P0068,Zhejiang,4045.0,120.60543628,27.43325004,2060,once-through,22390288.5,18.360036570000002,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,501542.4624,0.0,0.0,0.0,0.0,518.549
2030,P0069,Shaanxi,4000.0,109.10067892,34.81815216,2056,Air,18152000.0,14.88464,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,3122143.9999999995,0.0,1.0,0.0,0.0,158.195
2030,P0070,Shandong,5920.0,115.56860472222225,35.294208722222216,2052,recirculating,25817712.000000004,21.170523840000005,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,35935673.3328,0.0,0.0,0.0,0.0,57.163
2030,P0071,Guizhou,5000.0,104.54053204,26.182950060000003,2049,recirculating,23735500.0,19.46311,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,45049979.0,0.0,0.0,0.0,0.0,564.725
2030,P0072,Heilongjiang,1600.0,131.41872039999998,46.6215169,2046,recirculating,5565600.0,4.563792,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,9517176.0,0.0,0.0,0.0,0.0,76.339
2030,P0073,Liaoning,2045.0,123.4034578352941,41.25218117647059,2049,recirculating,6340931.499999999,5.199563829999999,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,9631874.948499998,0.0,0.0,0.0,0.0,58.644
2030,P0074,Shaanxi,8130.0,110.42589608333331,39.17701975,2051,Air,36893940.0,30.253030799999998,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,5700113.73,1.0,0.8782,0.0,0.0,287.64
2030,P0075,Henan,1980.0,114.316042,33.5464985,2053,recirculating,7127208.0,5.844310559999999,1.0,0.0,0.0,0.0,0.0,0.0,unabated,0.0,0.0,0.0,10762084.08,0.0,0.0,0.0,0.0,76.657
