plant_id,water_node_id,distance_km,distance_rank,delivered_cost_cny_per_m3,year,flow_m3,centroid_longitude,centroid_latitude,province_name
P0154,WC_0058_0018_C,196.05,5,13.8026,2030,18409504.331879143,117.49515763809524,38.89308288571428,Tianjin
P0155,WC_0056_0018_C,36.23,1,5.8115,2030,2367313.343,113.0482917,36.9563088,Shanxi
P0156,WC_0051_0012_J,22.35,1,5.1176,2030,5405533.199999998,102.3335597,25.0149171,Yunnan
P0157,WC_0052_0013_F,99.16,2,8.9581,2030,11953716.193283707,105.61257831999998,26.32126902000001,Guizhou
P0157,WC_0053_0013_H,138.32,3,10.9161,2030,14568970.466640852,105.61257831999998,26.32126902000001,Guizhou
P0157,WC_0052_0012_H,146.97,4,11.3485,2030,4916674.811668475,105.61257831999998,26.32126902000001,Guizhou
P0157,WC_0053_0013_F,164.27,5,12.2136,2030,3696318.1668069963,105.61257831999998,26.32126902000001,Guizhou
P0158,WC_0053_0011_H,80.15,1,8.0077,2030,6260836.9005,106.45162566666669,23.29812266666666,Guangxi
P0159,WC_0059_0012_G,76.32,1,7.816,2030,2164066.3395999996,118.63520546666663,24.687213566666667,Fujian
P0160,WC_0056_0015_F,109.42,1,9.4712,2030,14622562.593599996,112.36138973333333,30.151720266666665,Hubei
P0161,WC_0059_0014_G,23.32,1,5.1658,2030,5284827.675,118.8811483,28.9022094,Zhejiang
P0162,WC_0059_0017_E,116.62,4,9.8311,2030,4525243.081799999,117.7606535,35.409393550000004,Shandong
P0164,WC_0056_0014_F,39.11,1,5.9556,2030,5015834.496,112.9124966,28.5953512,Hunan
P0165,WC_0057_0018_C,115.76,2,9.788,2030,3366785.002350614,113.6907271,36.5985437,Hebei
P0165,WC_0057_0017_C,132.15,5,10.6074,2030,3262403.7976493854,113.6907271,36.5985437,Hebei
P0166,WC_0053_0011_H,81.46,1,8.0732,2030,12174391.611200001,106.9209267,23.73388806,Guangxi
P0168,WC_0041_0022_K,62.31,1,7.1156,2030,5028377.885334187,82.08918665,44.86349865,Xinjiang
P0168,WC_0040_0022_K,91.9,2,8.595,2030,6306006.805865809,82.08918665,44.86349865,Xinjiang
P0169,WC_0052_0013_F,27.3,1,5.3648,2030,14312506.500000002,105.49295496666667,27.159312466666663,Guizhou
P0170,WC_0059_0018_E,93.32,3,8.6659,2030,1990085.8167158978,118.63321123,37.40831771999999,Shandong
P0170,WC_0058_0018_D,179.36,6,12.968,2030,12138482.627629789,118.63321123,37.40831771999999,Shandong
P0170,WC_0060_0018_E,199.21,7,13.9603,2030,17421445.215240538,118.63321123,37.40831771999999,Shandong
P0171,WC_0054_0016_F,157.75,2,11.8877,2030,20699451.68,108.8980685142857,34.31278957142858,Shaanxi
P0172,WC_0052_0015_F,93.82,1,8.6911,2030,25245180.373599995,104.81546613333336,31.82574306666667,Sichuan
