year,plant_id,province_name,capacity_mw,baseline_net_cost_cny,carbon_cost_cny,coal_savings_cny,incremental_om_cny,energy_penalty_cny,ccs_om_cny,stranded_capex_cny,ccs_retrofit_capex_cny,total_plant_cost_cny
2030,P0079,Guangxi,8880.0,3849681124.8604803,4182492787.2,-0.0,0.0,0.0,0.0,0.0,0.0,8032173912.06048
2030,P0080,Shandong,4950.0,752950022.067186,2074596777.4125228,-0.0,226864987.442732,0.0,0.0,404601008.435467,0.0,3459012795.3579073
2030,P0081,Gansu,2100.0,-7856556.497687499,270479728.2808982,-0.0,2722222023.105648,0.0,0.0,5053665733.599478,0.0,8038510928.488337
2030,P0082,Liaoning,2500.0,11065623.125000069,762772199.9999999,-0.0,0.0,0.0,0.0,0.0,0.0,773837823.125
2030,P0083,Shaanxi,12790.0,-3150849636.331998,5711236368.0,-0.0,0.0,0.0,0.0,0.0,0.0,2560386731.668002
2030,P0084,Shaanxi,2690.0,-662688469.2519996,1201190447.9999998,-0.0,0.0,0.0,0.0,0.0,0.0,538501978.7480001
2030,P0085,Jiangsu,10050.0,1454508035.2845025,4959928260.0,-0.0,0.0,0.0,0.0,0.0,0.0,6414436295.284502
2030,P0086,Shaanxi,9460.0,-2330495508.9679985,4224260832.0,-0.0,0.0,0.0,0.0,0.0,0.0,1893765323.0320015
2030,P0087,Hebei,3050.0,-760943037.4884,1337064612.0000002,-0.0,0.0,0.0,0.0,0.0,0.0,576121574.5116003
2030,P0088,Zhejiang,2850.0,279435815.4618003,1552319531.9999998,-0.0,0.0,0.0,0.0,0.0,0.0,1831755347.4618
2030,P0089,Ningxia,26450.0,-11194711756.0102,12937662012.0,-0.0,0.0,0.0,0.0,0.0,0.0,1742950255.9897995
2030,P0090,Guangdong,7236.0,1248607873.41372,3440278630.08,-0.0,0.0,0.0,0.0,0.0,0.0,4688886503.49372
2030,P0091,Guangdong,7380.0,1273455791.2926,3508741886.4,-0.0,0.0,0.0,0.0,0.0,0.0,4782197677.6926
2030,P0092,Jiangxi,7650.0,3396214059.580802,3587955263.9999995,-0.0,0.0,0.0,0.0,0.0,0.0,6984169323.580801
2030,P0093,Hunan,4625.0,1729475871.6712508,1778030190.0,-0.0,0.0,0.0,0.0,0.0,0.0,3507506061.671251
2030,P0094,Fujian,1260.0,147627178.27199996,635566780.8,-0.0,0.0,0.0,0.0,0.0,0.0,783193959.0719999
2030,P0095,Anhui,3210.0,764385972.0127205,1605252434.4,-0.0,0.0,0.0,0.0,0.0,0.0,2369638406.4127207
2030,P0096,Guangdong,4670.0,805831781.2109,2220301437.6000004,-0.0,0.0,0.0,0.0,0.0,0.0,3026133218.8109
2030,P0097,Gansu,2120.0,0.0,0.0,-0.0,3996878400.0,0.0,0.0,2226000000.0,0.0,6222878400.0
2030,P0098,Xinjiang,24420.0,-1404272767.645908,785113997.054766,-0.0,54444646447.615395,0.0,0.0,80182223975.46597,0.0,134007711652.49023
2030,P0099,Sichuan,1000.0,345458890.38400006,491645759.9999999,-0.0,0.0,0.0,0.0,0.0,0.0,837104650.384
2030,P0100,Jiangxi,3180.0,1411759569.864961,1491463756.8,-0.0,0.0,0.0,0.0,0.0,0.0,2903223326.664961
2030,P0101,Qinghai,4870.0,-585955617.6431568,1959189058.887318,-0.0,18869438.015314426,0.0,0.0,35821893.01309928,0.0,1427924772.2725747
2030,P0102,Hunan,2520.0,942330637.1052004,968786179.1999999,-0.0,0.0,0.0,0.0,0.0,0.0,1911116816.3052003
2030,P0103,Inner Mongolia,3800.0,-3184805521.2180004,1881378479.9999998,-0.0,0.0,0.0,0.0,0.0,0.0,-1303427041.2180007
2030,P0104,Inner Mongolia,4540.0,-3805004491.1394005,2247752184.0,-0.0,0.0,0.0,0.0,0.0,0.0,-1557252307.1394005
2030,P0105,Liaoning,1300.0,5754124.025000037,396641544.0,-0.0,0.0,0.0,0.0,0.0,0.0,402395668.02500004
2030,P0106,Hubei,10550.0,3006377063.0704007,3892534751.9999986,-0.0,0.0,0.0,0.0,0.0,0.0,6898911815.070399
2030,P0107,Liaoning,4640.0,13690347.785021305,943698929.6294845,-0.0,2158565275.474918,0.0,0.0,4873079281.557205,0.0,7989033834.446629
2030,P0108,Guangdong,4720.0,814459530.4743999,2244073401.6,-0.0,0.0,0.0,0.0,0.0,0.0,3058532932.0744
2030,P0109,Shaanxi,8340.0,-2054580607.2719986,3724136927.9999995,-0.0,0.0,0.0,0.0,0.0,0.0,1669556320.7280009
2030,P0110,Guizhou,13260.0,-1474809876.299759,6193940126.4,-0.0,0.0,0.0,0.0,0.0,0.0,4719130250.100241
2030,P0111,Guangxi,122.8,53236581.321268804,57838976.831999995,-0.0,0.0,0.0,0.0,0.0,0.0,111075558.1532688
