unit_id,plant_site,capacity_mw,commission_year,combustion,cooling_technology,province,latitude,longitude,source,year_basis
G100000107660,鄂尔多斯电力冶金股份棋盘井自备电厂,330.0,2010,subcritical,Air,Inner Mongolia,39.385235,106.965664,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107661,鄂尔多斯电力冶金股份棋盘井自备电厂,330.0,2010,subcritical,Air,Inner Mongolia,39.385235,106.965664,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107662,鄂尔多斯电力冶金股份棋盘井自备电厂,50.0,2013,subcritical,recirculating,Inner Mongolia,39.385235,106.965664,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107663,鄂尔多斯电力冶金股份棋盘井自备电厂,50.0,2013,subcritical,recirculating,Inner Mongolia,39.385235,106.965664,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107664,鄂尔多斯电力冶金股份棋盘井自备电厂,135.0,2013,subcritical,recirculating,Inner Mongolia,39.385235,106.965664,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107665,鄂尔多斯电力冶金股份棋盘井自备电厂,135.0,2013,subcritical,recirculating,Inner Mongolia,39.385235,106.965664,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107666,鄂尔多斯电力冶金股份棋盘井自备电厂,135.0,2013,subcritical,recirculating,Inner Mongolia,39.385235,106.965664,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113713,鄂尔多斯资源集团高新材料公司棋盘井低热值煤电厂,330.0,2015,subcritical,Air,Inner Mongolia,39.350291,107.01002,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113714,鄂尔多斯资源集团高新材料公司棋盘井低热值煤电厂,330.0,2015,subcritical,Air,Inner Mongolia,39.350291,107.01002,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000109101,神华煤制油化工公司鄂尔多斯煤制油分公司自备电厂,100.0,2007,subcritical,recirculating,Inner Mongolia,39.32929,110.151818,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000109102,神华煤制油化工公司鄂尔多斯煤制油分公司自备电厂,100.0,2007,subcritical,recirculating,Inner Mongolia,39.32929,110.151818,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000115465,"贵州盘南低热值煤资源综合利用发电项目, 盘南2×660MW超超临界CFB燃煤发电机组",660.0,2025,ultra-supercritical,recirculating,Guizhou,25.431494,104.647459,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000115466,"贵州盘南低热值煤资源综合利用发电项目, 盘南2×660MW超超临界CFB燃煤发电机组",660.0,2026,ultra-supercritical,recirculating,Guizhou,25.431494,104.647459,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108894,贵州盘江电力新光电厂,660.0,2024,ultra-supercritical,recirculating,Guizhou,25.390694,104.651007,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000108895,贵州盘江电力新光电厂,660.0,2024,ultra-supercritical,recirculating,Guizhou,25.390694,104.651007,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107753,国投盘江盘北电厂,300.0,2013,subcritical,recirculating,Guizhou,26.064595,104.534107,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107754,国投盘江盘北电厂,300.0,2014,subcritical,recirculating,Guizhou,26.064595,104.534107,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000115339,盘江普定电厂,660.0,2024,ultra-supercritical,recirculating,Guizhou,26.2228837,105.6627586,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000115340,盘江普定电厂,660.0,2025,ultra-supercritical,recirculating,Guizhou,26.2228837,105.6627586,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113252,盘锦辽河富腾热电厂,30.0,2008,subcritical,recirculating,Liaoning,41.200031,122.005752,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000113253,盘锦辽河富腾热电厂,30.0,2008,subcritical,recirculating,Liaoning,41.200031,122.005752,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107771,华润电力盘锦热电厂,350.0,2014,supercritical,once-through,Liaoning,41.137393,122.1365333,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107772,华润电力盘锦热电厂,350.0,2014,supercritical,once-through,Liaoning,41.137393,122.1365333,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107776,淮南矿业潘三综合利用电厂,135.0,2008,CFB,recirculating,Anhui,32.819244,116.742849,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107777,淮南矿业潘三综合利用电厂,135.0,2008,CFB,recirculating,Anhui,32.819244,116.742849,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107778,天津盘山发电厂,530.0,1994,ultra-supercritical,recirculating,Tianjin,39.9801382,117.4630704,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107779,天津盘山发电厂,530.0,1996,ultra-supercritical,recirculating,Tianjin,39.9801382,117.4630704,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107780,天津盘山发电厂,600.0,2005,supercritical,recirculating,Tianjin,39.9801382,117.4630704,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107781,天津盘山发电厂,600.0,2005,supercritical,recirculating,Tianjin,39.9801382,117.4630704,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107788,贵州盘江电投发电盘县电厂,700.0,2013,supercritical,recirculating,Guizhou,26.010833,104.5161111,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107789,贵州盘江电投发电盘县电厂,700.0,2014,supercritical,recirculating,Guizhou,26.010833,104.5161111,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107790,粤电粤黔盘南电厂,600.0,2006,subcritical,recirculating,Guizhou,25.4686039,104.5924059,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107791,粤电粤黔盘南电厂,600.0,2006,subcritical,recirculating,Guizhou,25.4686039,104.5924059,GEM_with_Cooling_Technology_July2025.xlsx,2025
G100000107792,粤电粤黔盘南电厂,600.0,2007,subcritical,recirculating,Guizhou,25.4686039,104.5924059,GEM_with_Cooling_Technology_July2025.xlsx,2025
