biomass_node_id,province_id,province_name,longitude,latitude,available_gj,biomass_supply_gj,biomass_supply_tonnes_equiv,unit,mass_conversion_gj_per_tonne,base_cost_cny_per_gj,low_cost_cny_per_gj,high_cost_cny_per_gj,match_rule,competition_scope,buffer_km,aggregation_cell_deg,land_competition_included,source,year_basis
B00050,1,安徽省,116.12128954644756,31.872766960479854,5709513.776958484,5709513.776958484,380634.25179723225,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00051,1,安徽省,116.12947966991159,32.123497426448345,6105107.185815968,6105107.185815968,407007.14572106453,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00052,1,安徽省,116.13470973848096,32.383399576324265,9102823.324636025,9102823.324636025,606854.8883090684,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00053,1,安徽省,116.11966765527504,32.63335941799371,8522491.015475757,8522491.015475757,568166.0676983838,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00054,1,安徽省,116.12804634217461,32.878913940617906,10310101.188545179,10310101.188545179,687340.0792363452,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00055,1,安徽省,116.12462615184434,33.12558562299352,10321928.212329704,10321928.212329704,688128.5474886469,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00056,1,安徽省,116.12635348197561,33.3758097371683,11220618.407694533,11220618.407694533,748041.2271796355,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00057,1,安徽省,116.12229695123361,33.62079374676038,10303101.32363015,10303101.32363015,686873.4215753434,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00058,1,安徽省,116.03612908481475,33.80400039924642,1494809.5252599164,1494809.5252599164,99653.96835066109,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00059,1,安徽省,116.21532312202304,34.4473436259845,1274101.4594624406,1274101.4594624406,84940.09729749603,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00060,1,安徽省,116.22195990042557,34.530198113503495,508642.5043127614,508642.5043127614,33909.500287517425,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00061,1,安徽省,116.3375583768302,29.902731769113963,3213884.6995536983,3213884.6995536983,214258.97997024655,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00062,1,安徽省,116.36569407104311,30.146720945821187,3943312.44245452,3943312.44245452,262887.4961636347,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00063,1,安徽省,116.37277240619187,30.36927762433721,7136870.297216697,7136870.297216697,475791.35314777977,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00064,1,安徽省,116.37385385122249,30.624912465334074,6461956.537302071,6461956.537302071,430797.10248680477,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00065,1,安徽省,116.37417265578698,30.872295766194295,6021609.993440952,6021609.993440952,401440.6662293968,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00066,1,安徽省,116.38441500085364,31.116252249579745,2477557.1758269346,2477557.1758269346,165170.4783884623,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00067,1,安徽省,116.37646304146563,31.378536405532174,4500971.196560044,4500971.196560044,300064.74643733626,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00068,1,安徽省,116.37118257741928,31.634642923816404,5909904.239922659,5909904.239922659,393993.6159948439,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00069,1,安徽省,116.38538664796909,31.875824776619602,5821184.593603351,5821184.593603351,388078.9729068901,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00070,1,安徽省,116.3764026939845,32.12928552102908,5552283.78774367,5552283.78774367,370152.25251624465,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00071,1,安徽省,116.37154358611123,32.38902827407116,7108390.676277868,7108390.676277868,473892.7117518579,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00072,1,安徽省,116.37580134263062,32.62812676968115,9422279.655657683,9422279.655657683,628151.9770438455,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00073,1,安徽省,116.37069564609415,32.87845914904608,10163959.803097881,10163959.803097881,677597.3202065254,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
B00074,1,安徽省,116.37857022796757,33.1280892715756,10563362.2436551,10563362.2436551,704224.1495770067,GJ/yr,15.0,20.0,18.0,26.0,buffered_point_source_competition,shared_biomass_node,150.0,0.25,False,data/中国生物质潜力/bioenergy_s3_AFE_abandon.tif,static_resource_layer
